Timestamp,S_EXPOSE,APERTURE,EXPOSURE
1945.978552130898,10.224,0.038,63.0
1946.155083713851,8.94,0.038,52.0
1946.4807819634702,8.27,0.075,87.0
1946.6392579908677,8.388,0.075,81.0
1946.7212538051751,13.019,0.038,124.0
1947.4588527397261,32.641,0.038,117.0
1947.4917332572297,14.358,0.038,75.0
1947.6145547945205,9.361,0.075,106.0
1948.503796675774,11.602,0.075,49.0
1948.5174351092896,18.443,0.038,66.0
1948.5257570582878,17.202,0.038,120.0
1948.5259885397693,50.0,0.075,75.0
1948.5368131451123,50.0,0.038,91.0
1948.575098664238,50.0,0.4,30.0
1948.6513186854888,50.0,0.038,102.0
1948.689224726776,35.104,0.038,67.0
1948.7683534456587,24.393,0.075,38.0
1949.4752796803652,18.71,0.038,41.0
1950.4342503805176,12.582,0.075,46.0
1950.5597450532725,28.491,0.038,40.0
1950.8361643835617,10.4,0.4,10.0
1951.3520624048706,20.606,0.075,70.0
1951.505213089802,16.563,0.075,76.0
1951.5164079147642,12.099,0.4,10.0
1951.5681868340944,11.537,0.4,10.0
1951.5901065449011,21.705,0.075,101.0
1962.5058181126333,10.178,0.042,15.0
1962.511282343988,13.037,0.042,60.0
1962.571392694064,18.519,0.042,NaN
1967.7541133942161,9.648,0.042,120.0
1968.4745237553127,10.669,0.042,70.0
1968.4745237553127,12.188,0.042,70.0
1968.558468047966,9.166,0.042,90.0
1968.5693875227687,13.473,0.042,120.0
1968.7110788554949,15.328,0.042,120.0
1968.7110788554949,12.944,0.042,120.0
1968.7165755919855,13.707,0.042,120.0
1969.5188984018264,11.746,0.042,120.0
1973.5627587519025,20.054,0.042,120.0
1973.6831868340944,41.817,0.042,121.0
1973.721345129376,23.149,0.042,120.0
1973.7349353120244,33.733,0.042,120.0
1973.751308980213,44.05,0.042,120.0
1974.294611872146,32.178,0.042,114.0
1974.5271270928463,13.864,0.042,31.0
1974.5543226788432,14.683,0.042,NaN
1974.617444824962,13.96,0.042,69.0
1974.6994121004566,34.243,0.042,60.0
